	Sample	Feature	ExpressionGene
272	BA2951	negative	5.24328117345542
273	BA2778	negative	7.01613705435711
274	BA3153	negative	4.27041928872006
275	BA2820	positive	7.11889170682512
276	BA2704	positive	5.97361430412984
277	BA2584	negative	5.72791281354614
278	BA3079	negative	5.57561187049385
279	BA2361	negative	4.20061838096406
280	BA2472	negative	4.06768255183074
281	BA2047	positive	7.53093612416627
282	BA2101	negative	4.13397604746354
283	BA2082	negative	4.30539842621614
284	BA2456	negative	5.4921500734543
285	BA2175	negative	4.79347559452987
286	BA2507	negative	4.69788797442376
287	BA2563	positive	6.31632447129761
288	BA2984	negative	4.98548688523347
289	BA2414	positive	6.115497606055
290	BA2697	negative	4.99665147897099
291	BA2644	negative	5.72213373131707
292	BA2011	negative	3.33268141494615
293	BA2217	negative	6.01254264145456
294	BA2454	negative	4.35980493218316
295	BA2776	positive	6.83464418679852
296	BA2135	negative	3.53525438523798
297	BA2914	negative	6.58888481686372
298	BA2500	negative	6.13505858445244
299	BA3108	negative	5.43621855884092
300	BA2303	positive	8.27031665707811
301	BA2160	negative	6.00261866586335
302	BA2590	positive	5.57116929470375
303	BA3195	negative	5.02654059802702
304	BA3036	positive	5.5372259675426
305	BA2971	negative	4.859362912485
306	BA3410	negative	4.72146237134338
307	BA3118	negative	5.37928711694374
308	BA3206	negative	6.69750566900229
309	BA3217	positive	6.20920563257666
310	BA3405	negative	6.89968682755392
311	BA3306	positive	4.18905337629139
312	BA3413	negative	6.41603346705047
313	BA3411	negative	6.04775659278267
314	BA3133	negative	6.38171333036269
315	BA3451	negative	7.550843282623
316	BA3286	positive	7.52533179189238
317	BA3212	negative	5.68192875741287
318	BA3103	negative	4.18132017858849
319	BA3271	positive	7.59808663804993
320	BA3152	negative	7.1445927897216
321	BA3095	positive	7.01543819204674
322	BA3251	positive	6.81629782268832
323	BA3362	negative	7.53867754134672
324	BA3135	positive	4.33903266779967
325	BA3408	negative	3.17079334153815
326	BA3098	negative	6.64018393293961
327	BA3435	positive	6.22503632366675
328	BA3261	negative	4.65440830398242
329	BA3203	negative	4.18716058878723
330	BA3299	negative	5.20686512079418
331	BA3347	negative	6.06168577538942
332	BA3126	negative	7.76884228347361
333	BA3418	negative	4.20291883221202
334	BA3245	negative	5.5239080872138
335	BA3085	negative	5.32920195672699
336	BA3171	negative	5.6382097192845
337	BA3277	negative	4.46447835591803
338	BA3157	negative	5.29839304298236
339	BA3433	negative	3.74759218302818
340	BA3374	negative	6.57871147435603
341	BA3450	negative	4.14520169098392
342	BA3167	negative	5.24611528011748
343	BA3269	negative	4.89092474484563
344	BA3110	negative	5.57820476090366
345	BA3156	negative	3.93670563044514
346	BA3226	positive	6.06298925282901
347	BA3421	positive	5.96666513140334
348	BA3232	positive	7.46997411625783
349	BA3289	positive	4.75027858706246
350	BA3430	negative	4.69506440431895
351	BA3384	negative	7.22625304922136
352	BA3427	negative	5.37014622702408
353	BA3449	negative	5.38186716708803
354	BA3163	negative	7.16876088952225
355	BA3158	negative	5.34691482072856
356	BA3436	negative	6.55336509971083
357	BA3154	negative	4.57869564199945
358	BA3162	negative	5.29986206219824
359	BA3352	positive	5.41245018586405
360	BA3084	negative	7.0168789681798
361	BA3149	negative	3.77745737706284
362	BA3169	negative	6.88492067829042
363	BA3180	positive	5.06562997256811
364	BA3255	positive	7.59101188148724
365	BA3438	negative	6.96490245805844
366	BA3345	negative	5.1308809152012
367	BA3431	negative	5.06846235610609
368	BA3181	negative	6.18251802139279
369	BA3341	negative	4.26401053300844
370	BA3191	negative	7.03335772337666
371	BA3197	positive	6.65069612456278
372	BA3448	negative	6.11039522609915
373	BA3453	negative	4.29566916323682
374	BA3406	positive	6.78802478417111
375	BA3334	negative	5.57412698420844
376	BA3447	negative	4.84704413896278
377	BA3116	negative	4.66681816964876
378	BA3280	positive	4.55238107332514
379	BA3185	negative	5.04694903743101
380	BA3094	negative	5.38984631837511
381	BA3318	negative	4.06925036801479
382	BA3216	positive	5.32485345914141
383	BA3332	negative	4.59403374647175
384	BA3373	negative	5.9527582231115
385	BA3319	negative	7.31758513982701
386	BA3328	positive	6.1281715906941
387	BA3240	negative	6.14975362813735
388	BA3142	negative	5.68535357501915
389	BA3333	negative	4.93997522367398
390	BA3381	negative	5.92676397459841
391	BA3290	negative	5.51241676925768
